YEAR,MONTH,PROV_ID,PROV_N,MinRain,MaxRain,AvgRain
2018,6,52,ลำปาง,96.26999664,196.3899994,141.47
2018,6,53,อุตรดิตถ์,117.4599991,200.3800049,161.16
2018,6,54,แพร่,88.11000061,189.6300049,127.78
2018,6,55,น่าน,109.8199997,415.3299866,204.91
2018,6,56,พะเยา,89.41999817,295.6700134,167.28
2018,6,57,เชียงราย,112.5299988,246.9900055,202.51
2018,6,58,แม่ฮ่องสอน,164.2599945,340.0899963,241.69
2018,6,60,นครสวรรค์,102.8099976,161.1999969,126.83
2018,6,61,อุทัยธานี,98.01000214,208.8800049,142.98
2018,6,62,กำแพงเพชร,132.5099945,175.7400055,154.49
2018,6,63,ตาก,119.9100037,299.1300049,183.66
2018,6,64,สุโขทัย,163.1499939,192.8200073,179.3
2018,6,65,พิษณุโลก,137.4299927,186.6499939,165.6
2018,6,66,พิจิตร,126.7900009,190.3000031,166.12
2018,6,67,เพชรบูรณ์,111.9199982,166.7899933,138.66
2018,6,70,ราชบุรี,61.18000031,93.62000275,76.6
2018,6,71,กาญจนบุรี,32.75999832,321.1700134,166.03
